filename,width,height,class,xmin,ymin,xmax,ymax
File00333_jpg.rf.11576987620648091d8d5ac2a025f59a.jpg,400,362,Scalpel,170,32,235,362
File00319_jpg.rf.084aa48f465049026dcfbf7a06a924de.jpg,640,640,Towel_clip,223,69,503,589
File00346_jpg.rf.1065b6a81a58b05875510d1db7d2a076.jpg,400,400,Scalpel,242,17,305,400
File00386_jpg.rf.11a40ca9b44e9510b2981c105f123205.jpg,400,400,Richardson,22,109,383,290
File00366_jpg.rf.20ff5ccd0fe47b7b34486a90bf69527b.jpg,400,400,Iris,13,108,293,251
File00366_jpg.rf.20ff5ccd0fe47b7b34486a90bf69527b.jpg,400,400,Iris,92,138,386,290
File00313_jpg.rf.0a21c1572c5ca652b52428391829d1d9.jpg,300,400,Army_navy,85,51,134,334
File00313_jpg.rf.0a21c1572c5ca652b52428391829d1d9.jpg,300,400,Army_navy,149,52,183,335
File00340_jpg.rf.271d118f48afc6091932485b19e1153e.jpg,624,624,Hemostat,111,277,624,373
File00378_jpg.rf.2138ee8944dd384091ad588b1436d458.jpg,500,500,Forceps,35,5,439,487
File00393_jpg.rf.1af201d75337d461814e80e67eb0dc5c.jpg,256,400,Towel_clip,23,16,240,384
File00389_jpg.rf.00549f6a684e728f682708c14e02c906.jpg,640,480,Yankauer,15,154,617,267
File00339_jpg.rf.0be347d02084bc5dd7e23e1af8778367.jpg,400,400,Frazier,47,57,337,355
File00327_jpg.rf.0cd922b86bc5c0ec559ce1bc27c4b250.jpg,400,400,Scalpel,24,47,377,347
File00307_jpg.rf.144d70e5b8375f2184e09de1dc8d7593.jpg,400,400,Yankauer,18,24,347,375
File00344_jpg.rf.0e3ef389e60352eb28d1c315cf05c20d.jpg,640,640,Forceps,228,225,640,637
File00309_jpg.rf.006ec0fecdd6f1847f30f5523e5b2a77.jpg,400,400,Frazier,30,66,380,326
File00309_jpg.rf.006ec0fecdd6f1847f30f5523e5b2a77.jpg,400,400,Frazier,27,151,288,400
File00309_jpg.rf.006ec0fecdd6f1847f30f5523e5b2a77.jpg,400,400,Frazier,170,53,398,105
File00312_jpg.rf.00192aa017461d2349597d9e1de97a44.jpg,640,560,Castroviejo,29,101,582,490
File00391_jpg.rf.032f936b9d8a99a025e5401b7acaac14.jpg,400,300,Richardson,27,102,375,196
File00391_jpg.rf.032f936b9d8a99a025e5401b7acaac14.jpg,400,300,Richardson,39,62,339,121
File00342_jpg.rf.1b30f77383103a381d3c07cdde58a9a4.jpg,1000,1000,Towel_clip,25,207,980,697
File00373_jpg.rf.1da1541e6dd4cbf90e143aa270c56c3c.jpg,618,640,Weitlaner,11,10,608,620
File00373_jpg.rf.1da1541e6dd4cbf90e143aa270c56c3c.jpg,618,640,Weitlaner,319,0,618,169
File00371_jpg.rf.2573d6306e1a7bb78f3708dee1eb153d.jpg,640,640,Bulldog,39,56,423,567
File00371_jpg.rf.2573d6306e1a7bb78f3708dee1eb153d.jpg,640,640,Bulldog,101,106,476,561
File00371_jpg.rf.2573d6306e1a7bb78f3708dee1eb153d.jpg,640,640,Bulldog,281,150,561,546
File00371_jpg.rf.2573d6306e1a7bb78f3708dee1eb153d.jpg,640,640,Bulldog,376,248,596,530
File00329_jpg.rf.1e1225a5429cec494cecc9b7f7a1c099.jpg,640,360,Hemostat,14,8,589,357
File00377_jpg.rf.05f2ccb10d221021f6208917909fe96f.jpg,1000,1000,Frazier,35,155,943,844
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,14,110,350,224
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,472,128,779,257
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,2,226,274,362
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,499,232,766,380
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,36,360,284,440
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,494,379,741,495
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,56,490,264,565
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,497,495,697,585
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,54,621,271,693
File00354_jpg.rf.07709ed0249ca0c645c60c79af2d6027.jpg,800,800,Needle,480,639,691,717
File00321_jpg.rf.0de6848d3ea132a66a38c944bdc7f614.jpg,640,420,Forceps,180,123,640,256
File00388_jpg.rf.070bd8cffe78bf987ab919694b136797.jpg,640,451,Bulldog,78,73,493,144
File00358_jpg.rf.2ca4410889ede94caec6e2de7d469561.jpg,640,360,Yankauer,9,105,630,202
File00364_jpg.rf.2e8fed1af468e8e8c4684fd9fcae06c0.jpg,387,400,Iris,109,2,281,382
File00364_jpg.rf.2e8fed1af468e8e8c4684fd9fcae06c0.jpg,387,400,Iris,0,5,170,383
File00364_jpg.rf.2e8fed1af468e8e8c4684fd9fcae06c0.jpg,387,400,Iris,212,13,383,390
File00395_jpg.rf.3447e335aa8e2c874f2965bb132d54ed.jpg,400,379,Bulldog,60,68,323,269
File00311_jpg.rf.2e96a5e6084d0e2f79d3cecfcaead96e.jpg,400,276,Potts,7,92,392,198
File00363_jpg.rf.34e8bf9380243d9668ee526382999096.jpg,400,376,Hemostat,9,9,388,369
File00363_jpg.rf.34e8bf9380243d9668ee526382999096.jpg,400,376,Hemostat,117,288,400,371
File00363_jpg.rf.34e8bf9380243d9668ee526382999096.jpg,400,376,Hemostat,0,6,264,71
File00322_jpg.rf.37b2e71256ade72cf8595f34d3822ed8.jpg,400,333,Bulldog,34,24,225,272
File00322_jpg.rf.37b2e71256ade72cf8595f34d3822ed8.jpg,400,333,Bulldog,134,51,237,285
File00322_jpg.rf.37b2e71256ade72cf8595f34d3822ed8.jpg,400,333,Bulldog,220,75,299,286
File00322_jpg.rf.37b2e71256ade72cf8595f34d3822ed8.jpg,400,333,Bulldog,296,96,362,275
File00302_jpg.rf.3b66afac3415690e0628c1bb32a18077.jpg,400,400,Yankauer,34,85,370,330
File00362_jpg.rf.3ad69fc6dae2b47a8bb375b6ede33b58.jpg,640,487,Hemostat,187,9,617,328
File00362_jpg.rf.3ad69fc6dae2b47a8bb375b6ede33b58.jpg,640,487,Hemostat,10,72,485,472
File00324_jpg.rf.3ed83eed7e5bf32186c69bb5cfc26f45.jpg,640,494,Castroviejo,172,81,567,143
File00324_jpg.rf.3ed83eed7e5bf32186c69bb5cfc26f45.jpg,640,494,Castroviejo,85,132,519,201
File00324_jpg.rf.3ed83eed7e5bf32186c69bb5cfc26f45.jpg,640,494,Castroviejo,138,210,622,291
File00324_jpg.rf.3ed83eed7e5bf32186c69bb5cfc26f45.jpg,640,494,Castroviejo,2,276,550,386
File00324_jpg.rf.3ed83eed7e5bf32186c69bb5cfc26f45.jpg,640,494,Castroviejo,137,26,503,85
File00331_jpg.rf.3d6ff1b299611828004f2b1d0beec348.jpg,1000,1000,Castroviejo,8,41,384,342
File00331_jpg.rf.3d6ff1b299611828004f2b1d0beec348.jpg,1000,1000,Castroviejo,113,24,931,882
File00331_jpg.rf.3d6ff1b299611828004f2b1d0beec348.jpg,1000,1000,Castroviejo,488,718,980,999
File00372_jpg.rf.412dd206eb04ab3638b82c602785d528.jpg,640,428,Castroviejo,13,22,619,392
File00372_jpg.rf.412dd206eb04ab3638b82c602785d528.jpg,640,428,Castroviejo,308,163,626,377
File00314_jpg.rf.41a4fe187b8785e7bf0b220b91424533.jpg,400,400,Bulldog,125,91,260,118
File00314_jpg.rf.41a4fe187b8785e7bf0b220b91424533.jpg,400,400,Bulldog,109,0,243,22
File00314_jpg.rf.41a4fe187b8785e7bf0b220b91424533.jpg,400,400,Bulldog,97,129,260,161
File00314_jpg.rf.41a4fe187b8785e7bf0b220b91424533.jpg,400,400,Bulldog,125,167,257,198
File00314_jpg.rf.41a4fe187b8785e7bf0b220b91424533.jpg,400,400,Bulldog,112,212,275,238
File00314_jpg.rf.41a4fe187b8785e7bf0b220b91424533.jpg,400,400,Bulldog,10,284,88,303
File00314_jpg.rf.41a4fe187b8785e7bf0b220b91424533.jpg,400,400,Bulldog,84,34,259,66
File00316_jpg.rf.41ff1443e15405d04b8e6ebf4af149c2.jpg,640,640,Castroviejo,22,234,608,433
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,20,102,72,113
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,29,144,75,156
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,21,157,77,168
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,17,167,80,178
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,17,177,79,188
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,21,189,75,201
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,7,199,80,211
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,0,51,76,64
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,25,61,73,72
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,10,72,71,83
File00345_jpg.rf.450d2c13bf388436ab18c891b1b3d7b2.jpg,400,336,Bulldog,10,82,74,92
